name,segment,job,world,world_group,tier,union_level,access_flag,active_day_ratio,avg_exp_pct,avg_exp_on_active,character_age_days,cluster,pre_avg,post_avg
01연,Lv.285~289,프렌즈 월드,스카니아,기타,3,8072.0,False,0.45132743362831856,74.67,3647508307911.961,269.0,2,144090585505.72726,2009372866180.044
01진현진,Lv.285~289,도적,루나,루나크로아,3,8881.0,False,0.8376068376068376,72.95,3475142926300.1226,1499.0,2,2011882983423.743,3294489053141.232
10성식,Lv.285~289,렌,엘리시움,기타,3,9175.0,True,0.9126984126984127,55.4,2293120884415.3306,269.0,2,1502069820821.8,2320180856912.088
1254히어로,Lv.285~289,전사,베라,베라,3,9094.0,True,0.40476190476190477,60.19,2549489844399.3335,996.0,1,1307306321672.2285,926024844020.1978
12시48분이네,Lv.285~289,렌,스카니아,스카니아,2,9218.0,True,0.9523809523809523,97.02,7466970734709.85,269.0,2,4020755553061.4,8300110371516.846
150kg비건,Lv.285~289,전사,엘리시움,기타,3,8914.0,False,0.47474747474747475,44.17,1716456161297.8936,269.0,1,721666871254.125,823078072648.0
1876025759,Lv.285~289,엔젤릭버스터,베라,베라,3,9001.0,False,0.007936507936507936,1.05,114400000.0,2083.0,1,3268571.4285714286,0.0
1998,Lv.290~294,라라,아케인,기타,1,9676.0,True,1.0,99.79,19580595698367.11,624.0,2,9547805542161.8,23439361143061.46
1일1개굴,Lv.285~289,마법사,스카니아,스카니아,3,9094.0,False,0.017543859649122806,12.88,235058597122.0,269.0,1,20439878010.608696,0.0
2020년1월17,Lv.285~289,해적,루나,루나크로아,2,9051.0,True,0.8571428571428571,74.92,3660062559580.472,2350.0,2,2121127908755.2856,3527992083826.989
25555555,Lv.285~289,기사단,루나,루나크로아,2,9608.0,True,0.9841269841269841,81.0,4272094920253.0566,2635.0,0,1547108652062.4,5226274365815.33
25y0619,Lv.285~289,렌,엘리시움,기타,3,9880.0,True,0.7222222222222222,31.23,1154046394862.989,269.0,1,2496106189970.5713,194005552566.6154
28남숍,Lv.285~289,마법사,베라,베라,3,9154.0,False,0.05555555555555555,16.6,402959245813.5714,796.0,1,80584336052.88571,2889657.6263736263
28대왕관종,Lv.290~294,루미너스,베라,베라,2,9834.0,True,0.5079365079365079,3.39,410607096521.875,3724.0,0,150395457966.65714,230934210423.8132
29여,Lv.290~294,마법사,크로아,루나크로아,2,9101.0,True,0.8888888888888888,17.16,2489444897270.0356,4452.0,0,1804987391655.5144,2369706261387.923
2세계용사,Lv.285~289,렌,스카니아,스카니아,3,8895.0,True,0.8015873015873016,69.54,3182891878123.634,269.0,2,1600995744334.2285,2916892622404.275
2열3층,Lv.285~289,칼리,크로아,루나크로아,3,8601.0,True,0.11016949152542373,55.83,2332369877278.6924,633.0,1,406728811617.0,212517917483.12088
2호선유랑자,Lv.285~289,렌,엘리시움,기타,2,9398.0,True,0.9649122807017544,98.09,8115219184318.046,269.0,2,3736109998782.3477,8865314069263.637
30채쿰심헤도,Lv.285~289,마법사,스카니아,기타,3,8813.0,True,0.6833333333333333,53.77,2214288012793.744,269.0,2,1247770913956.862,1597651214772.945
3도류감자,Lv.285~289,도적,스카니아,스카니아,3,10072.0,True,0.19047619047619047,13.89,275783675994.7083,3236.0,1,135095964856.0,20774169823.21978
42424,Lv.285~289,궁수,스카니아,스카니아,3,9538.0,False,0.015873015873015872,2.0,185622827.5,1192.0,1,5153174.771428571,2097632.285714286
4공단,Lv.285~289,렌,스카니아,스카니아,3,9663.0,True,0.29838709677419356,21.89,667794811039.5676,269.0,1,60501614093.72727,249580821355.72528
4러스,Lv.285~289,렌,루나,루나크로아,3,8765.0,False,0.16666666666666666,24.99,846445270395.5264,269.0,1,487146747512.4783,53605329062.94505
523중력게이,Lv.285~289,프렌즈 월드,오로라,기타,3,8821.0,True,0.6666666666666666,93.39,6213022517853.738,2171.0,2,1697738946.857143,5734444732270.044
541014,Lv.285~289,해적,오로라,기타,3,9373.0,True,0.8695652173913043,54.2,2239018936890.25,396.0,2,28358422873.0,1968056665146.6704
6thsaturday,Lv.285~289,에반,스카니아,스카니아,3,8866.0,True,0.42063492063492064,26.9,943994519931.8302,268.0,1,1223904294441.2285,79066585175.20879
73반장,Lv.285~289,마법사,루나,루나크로아,3,9384.0,True,0.5873015873015873,82.26,4453502492024.797,777.0,2,1457067951755.743,3061118748333.89
79131000,Lv.285~289,렌,스카니아,기타,3,9084.0,True,0.9829059829059829,96.25,7198687150107.644,267.0,2,3215967890031.6924,8178394034302.802
817456,Lv.285~289,렌,엘리시움,기타,3,9191.0,True,0.16071428571428573,57.24,2411666318055.4443,269.0,1,0.0,477032898076.9011
85축,Lv.290~294,궁수,베라,베라,2,9982.0,True,1.0,20.34,2698139606535.5317,2613.0,0,1838413341104.1428,3028803554778.3735
8대째아스날,Lv.285~289,기사단,엘리시움,기타,3,9082.0,True,0.4126984126984127,64.86,2841236433121.423,815.0,2,927612844268.7715,1266789505196.7803
940519,Lv.285~289,아크,크로아,루나크로아,3,9725.0,True,0.6111111111111112,24.47,818525376424.1428,1675.0,1,597654763800.2572,462731178589.5604
AD스,Lv.290~294,아델,엘리시움,기타,2,9845.0,True,0.9761904761904762,35.91,3896806351806.1953,1834.0,0,3264033482494.5713,4011714388844.5273
AHOF,Lv.290~294,마법사,오로라,기타,2,9781.0,True,0.8253968253968254,15.36,2293836024560.8174,2699.0,0,765174061502.0857,2327229169250.022
ALO렌,Lv.285~289,렌,스카니아,스카니아,3,8895.0,False,0.008771929824561403,6.58,74257383403.0,269.0,1,3228581887.0869565,0.0
AM12시47분,Lv.285~289,마법사,스카니아,스카니아,2,9355.0,True,0.7777777777777778,71.38,3319199590814.2856,775.0,2,1302673170392.8572,3073494493802.747
ARAN,Lv.290~294,아란,크로아,루나크로아,2,9527.0,True,0.9603174603174603,65.15,6630507802421.95,3532.0,0,3300842791949.514,7546834575547.506
ATH0619,Lv.285~289,렌,엘리시움,기타,3,8753.0,False,0.05982905982905983,24.01,787125900234.2858,269.0,1,211918511601.53845,0.0
AdeleTeaM,Lv.290~294,아델,루나,루나크로아,2,9667.0,True,0.8650793650793651,45.66,4660678785374.064,1000.0,2,2003146987504.4285,4812130143330.967
Aloness,Lv.285~289,팬텀,스카니아,스카니아,3,9655.0,True,0.7063492063492064,87.37,5131441465055.82,3303.0,0,408796238327.5143,4861433209324.23
Alpais,Lv.285~289,궁수,오로라,기타,2,9117.0,True,0.8650793650793651,92.53,6000351954429.505,2614.0,2,1613349855360.4285,6566715583463.747
AltAD,Lv.290~294,도적,오로라,기타,2,9560.0,False,0.05555555555555555,43.64,4503575054855.857,1730.0,1,0.0,346428850373.52747
Arran장검,Lv.285~289,렌,스카니아,스카니아,3,8850.0,True,0.4444444444444444,24.41,811680831882.1538,269.0,1,741326313310.6538,252010100129.6154
Arya,Lv.290~294,궁수,루나,루나크로아,2,9457.0,True,0.8333333333333334,85.81,9631454824502.742,2278.0,2,2818280364035.2285,10029263119028.076
A맛잇는앵두,Lv.285~289,렌,엘리시움,기타,3,9927.0,True,0.4067796610169492,13.25,251094349009.27084,269.0,1,249580960973.1111,58393876990.89011
A아론,Lv.290~294,초월자,엘리시움,기타,2,9595.0,True,0.873015873015873,47.99,4794534134981.1455,4102.0,0,1218662675742.8572,5326874298867.318
B4더Dawn,Lv.285~289,도적,유니온,기타,3,7770.0,True,0.8571428571428571,67.51,3055229404582.4165,7427.0,0,1225699488431.0286,3154563665932.033
BIGVOSS,Lv.285~289,레지스탕스,스카니아,스카니아,3,9245.0,False,0.16666666666666666,30.68,1131140590094.5715,269.0,1,570018474174.6571,41794569185.41758
BOSE,Lv.285~289,마법사,엘리시움,기타,2,9337.0,True,0.8174603174603174,25.95,893657305223.6796,1351.0,1,1068405977999.7428,600576848440.0879
Bacteria,Lv.290~294,해적,엘리시움,기타,2,9021.0,True,1.0,58.58,5724386149111.881,1160.0,2,3273953211036.3716,6666860356064.0
BaekLyn,Lv.285~289,초월자,베라,베라,3,8900.0,False,0.18253968253968253,67.97,3084076683000.6523,4622.0,0,11602669967.885714,775029343518.011
BangTanB,Lv.290~294,팬텀,루나,루나크로아,2,9865.0,True,0.8809523809523809,28.6,3349366408004.261,3530.0,0,2553949349814.343,3103202681812.868
Baselamp,Lv.285~289,마법사,크로아,루나크로아,3,9335.0,True,0.46825396825396826,46.48,1813616273178.7458,809.0,1,624539199029.9714,935653715950.5165
BeachBreak,Lv.285~289,기사단,제니스,기타,3,8933.0,False,0.15079365079365079,37.35,1412163245063.6316,4157.0,1,481138389065.4286,109794044383.72528
Best,Lv.290~294,기사단,스카니아,스카니아,2,9024.0,False,0.1111111111111111,40.78,4286150519873.2856,373.0,1,1124965625809.6,226728685438.35165
