job,segment,n,pre_avg,post_avg,growth_rate
궁수,Lv.285~289,3279,1286395927888.8767,2718961003727.7715,111.36268739515512
궁수,Lv.290~294,1362,2625270988840.359,5982601628848.075,127.88510802424722
궁수,Lv.295~299,115,5082268690000.102,9111110434681.002,79.2725058517286
기사단,Lv.285~289,5496,1147036545884.264,2603015488333.668,126.93396279950025
기사단,Lv.290~294,2516,2607905189377.1274,6064624284578.786,132.54772870125936
기사단,Lv.295~299,219,5272313652231.146,9854262054707.75,86.90583877796433
도적,Lv.285~289,7280,1179758085279.437,2600006628395.5156,120.3847263975037
도적,Lv.290~294,4548,2539392941472.0454,5945779098068.065,134.14175100531676
도적,Lv.295~299,484,5251052918536.55,8892849359611.803,69.35364197567844
라라,Lv.285~289,945,1280600527766.4053,2686005997275.3403,109.7458137050913
라라,Lv.290~294,418,2833265245943.2,5980612761243.6045,111.08552296001659
라라,Lv.295~299,43,5157565257559.283,9411631658923.75,82.48206641941009
레지스탕스,Lv.285~289,3580,1241765629622.9578,2766953780213.346,122.82415571877982
레지스탕스,Lv.290~294,1738,2595287931974.4067,6302664208457.695,142.85028766202612
레지스탕스,Lv.295~299,192,5499470960960.182,9820514996284.244,78.57199476092204
레지스탕스,Lv.300,2,12919333342389.201,0.0,-100.0
렌,Lv.285~289,16337,1613518796222.151,2815542085470.7085,74.49701187633775
렌,Lv.290~294,609,5086609369924.766,8134431943565.461,59.91854990204948
렌,Lv.295~299,2,16732502790472.248,32216320886171.805,92.53737046747297
루미너스,Lv.285~289,470,1133395589537.6553,2481491838003.3027,118.94313520450304
루미너스,Lv.290~294,243,2459952722590.148,6736652085432.1875,173.8529087802546
루미너스,Lv.295~299,37,4606949254949.888,9063822641500.744,96.74240239920628
마법사,Lv.285~289,7675,1187106865180.5854,2696917329782.96,127.1840395239142
마법사,Lv.290~294,4690,2619263543779.527,6380314785050.834,143.59193637476477
마법사,Lv.295~299,551,5184542577495.077,9161152137859.062,76.70126150811346
메르세데스,Lv.285~289,1182,1287053422895.1367,2968016137281.1016,130.6055121321038
메르세데스,Lv.290~294,530,2710713401158.123,6533921354959.499,141.04065565057346
메르세데스,Lv.295~299,40,4472826600616.342,8912728122765.559,99.26388654407957
아델,Lv.285~289,3367,1045930520169.8099,2556626421478.1406,144.43558842350873
아델,Lv.290~294,1876,2489813427401.8306,5865930246682.397,135.5971809824968
아델,Lv.295~299,179,5442371830695.43,9466617063655.375,73.94285723483404
아델,Lv.300,1,645546500471.8572,0.0,-100.0
아란,Lv.285~289,668,1133688819176.2,2743141796064.466,141.9660271552984
아란,Lv.290~294,408,2423441973287.665,6111494683041.864,152.18242278567746
