scope,group1,group2,meandiff,p-adj,reject
전체,경타포스,사냥,-84.5103,0.0,True
전체,경타포스,사냥 외,-136.0552,0.0,True
전체,사냥,사냥 외,-51.5449,0.0,True
Lv.285~289,경타포스,사냥,-75.178,0.0,True
Lv.285~289,경타포스,사냥 외,-120.072,0.0,True
Lv.285~289,사냥,사냥 외,-44.894,0.0,True
Lv.290~294,경타포스,사냥,-112.6797,0.0,True
Lv.290~294,경타포스,사냥 외,-183.6353,0.0,True
Lv.290~294,사냥,사냥 외,-70.9556,0.0,True
Lv.295~299,경타포스,사냥,-46.0233,0.0,True
Lv.295~299,경타포스,사냥 외,-75.3512,0.0,True
Lv.295~299,사냥,사냥 외,-29.3279,0.0,True
Lv.300,경타포스,사냥,20.5666,0.8195,False
Lv.300,경타포스,사냥 외,51.7294,0.2501,False
Lv.300,사냥,사냥 외,31.1628,0.4434,False
