segment,day_name,week_idx,avg_exp
Lv.285~289,금,1,1178432961836.2048
Lv.285~289,금,2,1101728870072.419
Lv.285~289,금,3,1092637906521.9583
Lv.285~289,금,4,1231258237280.7166
Lv.285~289,금,5,1289242143649.7761
Lv.285~289,금,6,1574943581326.0093
Lv.285~289,금,7,1727205692140.0654
Lv.285~289,금,8,1944149834775.066
Lv.285~289,금,9,3125868143855.666
Lv.285~289,금,10,4819500911418.592
Lv.285~289,금,11,2023824807797.0918
Lv.285~289,금,12,2210411462471.3003
Lv.285~289,금,13,3459673575489.3506
Lv.285~289,금,14,2806209468831.793
Lv.285~289,금,15,2698876775115.0957
Lv.285~289,금,16,3018861660626.705
Lv.285~289,금,17,3715739937123.1963
Lv.285~289,금,18,3294551797160.3
Lv.285~289,목,1,1414576080079.102
Lv.285~289,목,2,1089062851366.895
Lv.285~289,목,3,1416317924099.173
Lv.285~289,목,4,1584919077591.9792
Lv.285~289,목,5,1434789909236.0835
Lv.285~289,목,6,1528616022360.9902
Lv.285~289,목,7,2530949392100.9287
Lv.285~289,목,8,2891509001056.009
Lv.285~289,목,9,3411378034418.1616
Lv.285~289,목,11,2410913982112.1396
Lv.285~289,목,12,2634148225436.752
Lv.285~289,목,13,3867566633444.245
Lv.285~289,목,14,3099084051133.0537
Lv.285~289,목,15,3150068700891.8276
Lv.285~289,목,16,3213644568337.9463
Lv.285~289,목,17,4117509605394.961
Lv.285~289,목,18,3879337094833.2954
Lv.285~289,수,1,1349532939894.4983
Lv.285~289,수,2,1375967580687.6406
Lv.285~289,수,3,1439535464217.0366
Lv.285~289,수,4,1472986269919.9978
Lv.285~289,수,5,1335740100726.8342
Lv.285~289,수,6,1567850871649.0671
Lv.285~289,수,7,1888068023534.4082
Lv.285~289,수,8,1893438725209.2505
Lv.285~289,수,9,1960186428078.945
Lv.285~289,수,10,3845144776053.546
Lv.285~289,수,11,2171042752284.5757
Lv.285~289,수,12,2096574350033.8484
Lv.285~289,수,13,2544037106631.4673
Lv.285~289,수,14,4239555203435.17
Lv.285~289,수,15,3228143637060.973
Lv.285~289,수,16,2764673495149.4644
Lv.285~289,수,17,3160609612592.106
Lv.285~289,수,18,3580757482683.518
Lv.285~289,월,1,1146234171562.625
Lv.285~289,월,2,1024683715900.1521
Lv.285~289,월,3,1120631797216.742
Lv.285~289,월,4,1113559359161.6985
Lv.285~289,월,5,1307732326770.2263
Lv.285~289,월,6,1231228893597.1096
Lv.285~289,월,7,1536952709429.8704
Lv.285~289,월,8,1501085614654.2087
Lv.285~289,월,9,1595634468293.1433
Lv.285~289,월,10,2684842106124.044
Lv.285~289,월,11,1623149221866.4844
Lv.285~289,월,12,1714863179037.3196
Lv.285~289,월,13,1918493365694.8428
Lv.285~289,월,14,2810395725306.05
Lv.285~289,월,15,2281812140408.408
Lv.285~289,월,16,2348167757866.1016
Lv.285~289,월,17,3056212351113.346
Lv.285~289,월,18,3939574542606.2905
Lv.285~289,일,1,1588218193751.1753
Lv.285~289,일,2,1376875385715.1814
Lv.285~289,일,3,1742992977272.534
Lv.285~289,일,4,1293301787420.1074
Lv.285~289,일,5,1893075259509.6084
Lv.285~289,일,6,1750868748013.9365
Lv.285~289,일,7,3797637658454.1973
Lv.285~289,일,8,3508749270895.066
Lv.285~289,일,9,2199695393789.1416
Lv.285~289,일,10,5390030037704.563
Lv.285~289,일,11,2349529649452.036
Lv.285~289,일,12,2945690323233.6685
Lv.285~289,일,13,4734875441214.6
Lv.285~289,일,14,4624639332318.204
Lv.285~289,일,15,2794161486146.766
Lv.285~289,일,16,3307244200796.5757
Lv.285~289,일,17,3358029372416.937
Lv.285~289,일,18,5847490659807.217
Lv.285~289,토,1,1253746515491.9172
Lv.285~289,토,2,1281170345176.3186
Lv.285~289,토,3,1340900045006.7036
Lv.285~289,토,4,1210865774788.558
Lv.285~289,토,5,1361189797655.508
Lv.285~289,토,6,1697152133997.7532
Lv.285~289,토,7,1960330640359.8362
Lv.285~289,토,8,2127465102791.743
Lv.285~289,토,9,2008193145545.1543
Lv.285~289,토,10,3984698209646.217
Lv.285~289,토,11,2057301251431.9888
Lv.285~289,토,12,2375094588111.129
Lv.285~289,토,13,3018107517862.6177
Lv.285~289,토,14,3984744487279.464
Lv.285~289,토,15,2954532064308.795
Lv.285~289,토,16,2965013160614.4375
Lv.285~289,토,17,3240921478136.7266
Lv.285~289,토,18,4394560299544.4907
Lv.285~289,토,19,4142439264401.885
Lv.285~289,화,1,1043513743229.3989
Lv.285~289,화,2,1063820486869.9417
