name,segment,job,world,world_group,tier,union_level,access_flag,character_age_days,event_flag,duration_days,trailing_inactive_days,first_active_date,last_active_date,active_day_count,active_day_ratio,avg_exp_on_active,pre_avg,post_avg
01연,Lv.285~289,프렌즈 월드,스카니아,챌린저스,3,8072.0,False,269.0,1,72,38,2025-11-24,2026-02-05,51,0.4513,3647508307911.961,144090585505.72726,4292212547171.9414
01진현진,Lv.285~289,도적,루나,루나,3,8881.0,False,1499.0,0,116,0,2025-11-09,2026-03-06,98,0.8376,3475142926300.1226,2011882983423.743,2256219410775.0586
10성식,Lv.285~289,렌,엘리시움,엘리시움,3,9175.0,True,269.0,0,125,1,2025-11-09,2026-03-14,115,0.9127,2293120884415.3306,1502069820821.8,1669879434504.5588
1254히어로,Lv.285~289,전사,베라,기타,3,9094.0,True,996.0,1,73,52,2025-11-09,2026-01-22,51,0.4048,2549489844399.3335,1307306321672.2285,2401192399131.0586
12시48분이네,Lv.285~289,렌,스카니아,스카니아,2,9218.0,True,269.0,0,125,0,2025-11-09,2026-03-15,120,0.9524,7466970734709.85,4020755553061.4,5584924545773.471
150kg비건,Lv.285~289,전사,엘리시움,엘리시움,3,8914.0,False,269.0,1,67,31,2025-12-06,2026-02-12,47,0.4747,1716456161297.8936,721666871254.125,1518448322735.7646
1876025759,Lv.285~289,엔젤릭버스터,베라,기타,3,9001.0,False,2083.0,1,1,114,2025-11-20,2025-11-20,1,0.0079,114400000.0,3268571.4285714286,0.0
1998,Lv.290~294,라라,아케인,기타,1,9676.0,True,624.0,0,125,0,2025-11-09,2026-03-15,126,1.0,19580595698367.11,9547805542161.8,15957540143053.266
1일1개굴,Lv.285~289,마법사,스카니아,스카니아,3,9094.0,False,269.0,1,13,93,2025-11-28,2025-12-11,2,0.0175,235058597122.0,20439878010.608696,0.0
2020년1월17,Lv.285~289,해적,루나,루나,2,9051.0,True,2350.0,0,125,2,2025-11-09,2026-03-13,108,0.8571,3660062559580.472,2121127908755.2856,2657917785668.7646
25555555,Lv.285~289,기사단,루나,루나,2,9608.0,True,2635.0,0,125,0,2025-11-09,2026-03-15,124,0.9841,4272094920253.0566,1547108652062.4,6781322394314.265
25y0619,Lv.285~289,렌,엘리시움,엘리시움,3,9880.0,True,269.0,0,125,0,2025-11-09,2026-03-15,91,0.7222,1154046394862.989,2496106189970.5713,304750138998.5294
28남숍,Lv.285~289,마법사,베라,기타,3,9154.0,False,796.0,1,41,83,2025-11-10,2025-12-21,7,0.0556,402959245813.5714,80584336052.88571,7734083.647058823
28대왕관종,Lv.290~294,루미너스,베라,기타,2,9834.0,True,3724.0,0,125,0,2025-11-09,2026-03-15,64,0.5079,410607096521.875,150395457966.65714,101512713348.11765
29여,Lv.290~294,마법사,크로아,크로아,2,9101.0,True,4452.0,0,125,0,2025-11-09,2026-03-15,112,0.8889,2489444897270.0356,1804987391655.5144,1446246705287.2942
2세계용사,Lv.285~289,렌,스카니아,스카니아,3,8895.0,True,269.0,0,125,0,2025-11-09,2026-03-15,101,0.8016,3182891878123.634,1600995744334.2285,1562659193487.2354
2열3층,Lv.285~289,칼리,크로아,크로아,3,8601.0,True,633.0,1,92,24,2025-11-18,2026-02-19,13,0.1102,2332369877278.6924,406728811617.0,488136073263.64703
2호선유랑자,Lv.285~289,렌,엘리시움,엘리시움,2,9398.0,True,269.0,0,113,0,2025-11-21,2026-03-15,110,0.9649,8115219184318.046,3736109998782.3477,7638250617583.617
