name,tier,access_flag,date_create,latest_level,world,union_level,ocid,character_class,world_group,최대 스탯공격력,데미지,보스 몬스터 데미지,최종 데미지,방어율 무시,크리티컬 확률,크리티컬 데미지,상태이상 내성,스탠스,방어력,이동속도,점프력,스타포스,아케인포스,어센틱포스,STR,DEX,INT,LUK,HP,MP,AP 배분 STR,AP 배분 DEX,AP 배분 INT,AP 배분 LUK,AP 배분 HP,AP 배분 MP,아이템 드롭률,메소 획득량,버프 지속시간,공격 속도,일반 몬스터 데미지,재사용 대기시간 감소 (초),재사용 대기시간 감소 (%),재사용 대기시간 미적용,추가 경험치 획득,공격력,마력,전투력
안중기신궁,3,True,2023-06-15T00:00+09:00,285,오로라,10279.0,e0132aeaffb9103904eb25fb109a53dbefe8d04e6d233bd35cf2fabdeb93fb0d,신궁,기타,41379704.0,80.0,235.0,85.26,92.41,161.0,83.0,72.0,100.0,54884.0,170.0,123.0,288.0,1350.0,380.0,6558.0,50958.0,4298.0,4095.0,72954.0,36177.0,4.0,1443.0,4.0,4.0,0.0,0.0,32.0,51.0,45.0,4.0,59.0,0.0,6.0,0.0,63.0,4369.0,963.0,61092151.0
닝워닝,2,True,2024-12-30T00:00+09:00,292,스카니아,9335.0,4919ee3a98ac1f95fa0dea271e4c0ecc,나이트워커,스카니아,22821037.0,99.0,205.0,70.02,73.77,100.0,94.7,77.0,100.0,16544.0,160.0,123.0,37.0,1350.0,730.0,1399.0,1987.0,1362.0,32915.0,38660.0,29190.0,4.0,4.0,4.0,1478.0,0.0,0.0,76.0,105.0,48.0,6.0,66.0,0.0,6.0,0.0,196.0,2884.0,522.0,28540986.0
론녜,3,False,2025-06-19T00:00+09:00,285,루나,9039.0,e030606387fc2359ff53b8c53f595dd0efe8d04e6d233bd35cf2fabdeb93fb0d,렌,루나,18346408.0,61.0,312.0,86.15,92.93,77.0,53.0,59.0,100.0,61372.0,161.0,123.0,155.0,1360.0,410.0,35646.0,3064.0,1617.0,2212.0,71670.0,18479.0,1443.0,4.0,4.0,4.0,0.0,0.0,0.0,44.0,31.0,6.0,26.0,0.0,6.0,0.0,47.0,3233.0,557.0,31743623.0
반전조작,3,True,2024-12-19T00:00+09:00,286,이노시스,9362.0,46016f530a8febfb47d9adaf89db513aefe8d04e6d233bd35cf2fabdeb93fb0d,보우마스터,기타,64524617.0,118.0,539.0,103.95,95.5,119.0,116.0,161.0,100.0,38912.0,170.0,123.0,281.0,1350.0,470.0,6838.0,47236.0,4753.0,3539.0,63650.0,33090.0,4.0,1453.0,4.0,4.0,0.0,0.0,56.0,16.0,62.0,4.0,22.0,0.0,5.0,0.0,72.0,5702.0,1141.0,86254834.0
김이미르,2,True,2025-06-19T00:00+09:00,294,베라,9180.0,d8063017c90625b2fb0010640a0b55b7,에반,기타,75555628.0,75.0,325.0,68.74,89.33,98.0,125.6,61.0,100.0,23486.0,168.0,123.0,303.0,1350.0,800.0,4354.0,4295.0,61140.0,9698.0,63099.0,110287.0,4.0,4.0,1493.0,4.0,0.0,0.0,206.0,154.0,40.0,4.0,134.0,2.0,6.0,7.0,516.0,2107.0,8386.0,172798647.0
귀요미홍은채,3,True,2025-06-19T00:00+09:00,285,챌린저스3,9022.0,cddc4c7c0894dc15a13c2b4ecbbed113efe8d04e6d233bd35cf2fabdeb93fb0d,렌,챌린저스,47371014.0,76.0,514.0,87.7,97.05,100.0,75.0,72.0,100.0,91650.0,170.0,123.0,283.0,1350.0,350.0,51144.0,5963.0,3379.0,3492.0,130313.0,54198.0,1448.0,4.0,4.0,4.0,0.0,0.0,66.0,16.0,30.0,6.0,12.0,0.0,6.0,0.0,97.0,5239.0,1281.0,110376510.0
월하백요,3,False,2025-06-19T00:00+09:00,285,챌린저스,9812.0,1218d86fb3418862b0c21b5a8d75347d,렌,챌린저스,32974181.0,84.0,360.0,82.8,94.94,95.0,57.0,70.0,100.0,82674.0,170.0,123.0,291.0,1350.0,340.0,47748.0,4933.0,2168.0,2597.0,93146.0,31179.0,1443.0,4.0,4.0,4.0,0.0,0.0,12.0,5.0,61.0,6.0,32.0,0.0,6.0,7.0,71.0,3849.0,852.0,61940492.0
늘왱,3,True,2018-08-01T00:00+09:00,287,루나,8137.0,924152a1f9eea55fed7c84b4d5bc88c4,아란,루나,41539999.0,117.0,427.0,46.41,92.95,90.0,84.0,92.0,100.0,99999.0,160.0,123.0,276.0,1350.0,400.0,51797.0,5489.0,3633.0,3552.0,92210.0,31165.0,1453.0,4.0,4.0,4.0,0.0,-439.0,12.0,14.0,48.0,5.0,12.0,0.0,5.0,0.0,42.0,4126.0,1205.0,85468865.0
뜨밤에,3,True,2025-06-20T00:00+09:00,286,크로아,8958.0,5b2484d0ffd2278ac5fca5d95e06bafb,에반,크로아,83427101.0,65.0,482.0,68.74,94.47,92.0,125.55,65.0,100.0,31593.0,170.0,123.0,379.0,1350.0,640.0,6745.0,7100.0,69603.0,11738.0,67662.0,90023.0,4.0,4.0,1453.0,4.0,0.0,0.0,38.0,4.0,55.0,4.0,12.0,2.0,6.0,14.0,141.0,2363.0,8606.0,253251879.0
상쏘남,3,True,2024-12-19T00:00+09:00,287,스카니아,9617.0,62af9875367c61253984e175784a5b49,스트라이커,스카니아,27310528.0,66.0,381.0,38.89,92.78,94.0,104.9,75.0,100.0,68146.0,170.0,123.0,123.0,1350.0,510.0,40926.0,3477.0,2517.0,2754.0,70386.0,42932.0,1453.0,4.0,4.0,4.0,0.0,0.0,32.0,55.0,71.0,5.0,12.0,0.0,6.0,6.0,77.0,4168.0,759.0,54947698.0
