date,segment,avg_exp
2025-11-08,Lv.285~289,1252689224975.657
2025-11-08,Lv.290~294,2690333422499.082
2025-11-08,Lv.295~299,5372830172713.424
2025-11-08,Lv.300,18584104980281.25
2025-11-09,Lv.285~289,1588292861442.446
2025-11-09,Lv.290~294,3209530505140.826
2025-11-09,Lv.295~299,6265039529132.984
2025-11-09,Lv.300,17362868130765.0
2025-11-10,Lv.285~289,1145495117526.481
2025-11-10,Lv.290~294,2274444647384.4395
2025-11-10,Lv.295~299,4752999768276.584
2025-11-10,Lv.300,13572651454587.0
2025-11-11,Lv.285~289,1043284925379.938
2025-11-11,Lv.290~294,2142757138084.596
2025-11-11,Lv.295~299,4591355640372.441
2025-11-11,Lv.300,13031900412294.5
2025-11-12,Lv.285~289,1349435198918.0642
2025-11-12,Lv.290~294,2555993907115.9697
2025-11-12,Lv.295~299,4955232031542.312
2025-11-12,Lv.300,21986516894534.25
2025-11-13,Lv.285~289,1413847825466.0415
2025-11-13,Lv.290~294,2759539705830.5117
2025-11-13,Lv.295~299,5429597940874.971
2025-11-13,Lv.300,15210594749995.75
2025-11-14,Lv.285~289,1178227758822.3884
2025-11-14,Lv.290~294,2475668835660.344
2025-11-14,Lv.295~299,5193400747767.69
2025-11-14,Lv.300,13890910752503.25
2025-11-15,Lv.285~289,1281303719617.523
2025-11-15,Lv.290~294,2712364861302.2256
2025-11-15,Lv.295~299,5376137585015.592
2025-11-15,Lv.300,12843280741201.75
2025-11-16,Lv.285~289,1377018904655.9407
2025-11-16,Lv.290~294,2825749351492.841
2025-11-16,Lv.295~299,5637635194747.3545
2025-11-16,Lv.300,14029485436629.5
2025-11-17,Lv.285~289,1024506396362.6387
2025-11-17,Lv.290~294,2242111861946.84
2025-11-17,Lv.295~299,4671649556267.954
2025-11-17,Lv.300,12527098192958.75
2025-11-18,Lv.285~289,1063360671111.3616
2025-11-18,Lv.290~294,2233516542866.947
2025-11-18,Lv.295~299,4649930887458.465
2025-11-18,Lv.300,11939707252156.0
2025-11-19,Lv.285~289,1375626542505.4917
2025-11-19,Lv.290~294,2622100708897.667
2025-11-19,Lv.295~299,5042557576382.861
2025-11-19,Lv.300,18776139081190.5
2025-11-20,Lv.285~289,1088781745402.6296
2025-11-20,Lv.290~294,2375200572791.2324
2025-11-20,Lv.295~299,5172570723021.416
2025-11-20,Lv.300,10675224698350.0
2025-11-21,Lv.285~289,1101375249740.3845
2025-11-21,Lv.290~294,2356407404936.402
2025-11-21,Lv.295~299,4866414777375.758
2025-11-21,Lv.300,8996622148588.75
2025-11-22,Lv.285~289,1340623006060.4968
2025-11-22,Lv.290~294,2768694362955.359
2025-11-22,Lv.295~299,5515120331156.613
2025-11-22,Lv.300,10082083207104.25
2025-11-23,Lv.285~289,1742938880513.7615
2025-11-23,Lv.290~294,3949398947191.9365
2025-11-23,Lv.295~299,8514362827528.718
2025-11-23,Lv.300,13172058438676.25
2025-11-24,Lv.285~289,1120293458805.2405
2025-11-24,Lv.290~294,2348840949941.523
2025-11-24,Lv.295~299,4804868207929.831
2025-11-24,Lv.300,9123655009764.5
2025-11-25,Lv.285~289,1113267329363.7583
2025-11-25,Lv.290~294,2317071875931.604
2025-11-25,Lv.295~299,4723821289919.17
2025-11-25,Lv.300,6809687618181.75
2025-11-26,Lv.285~289,1439145742859.0132
2025-11-26,Lv.290~294,2745129208898.364
2025-11-26,Lv.295~299,5116430724748.054
2025-11-26,Lv.300,14000036072055.5
2025-11-27,Lv.285~289,1416139121896.6953
2025-11-27,Lv.290~294,2763154420094.284
2025-11-27,Lv.295~299,5417323589366.301
2025-11-27,Lv.300,9353234145108.0
2025-11-28,Lv.285~289,1092577402661.5029
2025-11-28,Lv.290~294,2359171930989.0654
2025-11-28,Lv.295~299,4889274995698.339
2025-11-28,Lv.300,9303926131458.5
2025-11-29,Lv.285~289,1211096314583.2563
2025-11-29,Lv.290~294,2585808003711.356
2025-11-29,Lv.295~299,5246955915158.373
2025-11-29,Lv.300,9064083861814.75
2025-11-30,Lv.285~289,1292723698123.5396
