Date,segment,Event_Category,Sunday_Type,mean,median,n,std
2025-11-09,Lv.285~289,사냥 외,몬파,132.98914109089094,69.4819725292399,53421,220.67865604313332
2025-11-09,Lv.290~294,사냥 외,몬파,135.50542835422627,101.78677756384806,26813,164.93120634102303
2025-11-09,Lv.295~299,사냥 외,몬파,124.09643305127511,111.76465729907457,2762,88.04976204424653
2025-11-09,Lv.300,사냥 외,몬파,303.74570713112286,211.81125935036897,4,263.8450720093687
2025-11-16,Lv.285~289,사냥 외,샤타포스,122.08119466513405,56.52896119896474,57751,224.5305089977559
2025-11-16,Lv.290~294,사냥 외,샤타포스,117.96960412181706,87.51453876346822,26921,151.09994271825727
2025-11-16,Lv.295~299,사냥 외,샤타포스,109.78401536311682,100.0368185968884,2764,81.80199508631884
2025-11-16,Lv.300,사냥 외,샤타포스,117.73580860884528,99.83141129084456,4,112.91152865342956
2025-11-23,Lv.285~289,사냥,룬콤보,121.5820527272593,71.28010536081688,64915,174.5597630551661
2025-11-23,Lv.290~294,사냥,룬콤보,143.5073357891016,120.56253168906552,27107,143.56583247939994
2025-11-23,Lv.295~299,사냥,룬콤보,159.6424818212234,148.749523851651,2765,96.71318867036086
2025-11-23,Lv.300,사냥,룬콤보,71.763785282414,67.84265163031633,4,83.11270625919678
2025-11-30,Lv.285~289,사냥 외,강화,97.29683064211781,45.584257424824294,66557,164.24080341872295
2025-11-30,Lv.290~294,사냥 외,강화,104.62302117040299,82.30612349861221,27118,127.26919438160377
2025-11-30,Lv.295~299,사냥 외,강화,106.55822912531423,99.58737022905717,2766,70.79353831532796
2025-11-30,Lv.300,사냥 외,강화,44.0827646661933,35.86069950239092,4,52.6433896037683
2025-12-07,Lv.285~289,사냥,트레져/몬파,135.46773823131255,70.0288249826863,68249,210.02118603971593
2025-12-07,Lv.290~294,사냥,트레져/몬파,139.5991493830546,111.1345852676717,27134,161.55701167645498
2025-12-07,Lv.295~299,사냥,트레져/몬파,132.54018204242834,123.85175113923461,2769,89.92045444614173
2025-12-07,Lv.300,사냥,트레져/몬파,51.63589378116516,42.947539184063174,4,61.288830279692746
2025-12-14,Lv.285~289,사냥 외,샤타포스,166.01423641722457,67.1230827568186,69157,363.2811947215854
2025-12-14,Lv.290~294,사냥 외,샤타포스,146.90803770834535,97.3952326080578,27088,245.00460559103252
