scope,group1,group2,meandiff,p-adj,reject
전체,강화,경타포스,161.1627,0.0,True
전체,강화,사냥,86.4932,0.0,True
전체,경타포스,사냥,-74.6696,0.0,True
Lv.285~289,강화,경타포스,145.4894,0.0,True
Lv.285~289,강화,사냥,82.4372,0.0,True
Lv.285~289,경타포스,사냥,-63.0521,0.0,True
Lv.290~294,강화,경타포스,208.6109,0.0,True
Lv.290~294,강화,사냥,99.5824,0.0,True
Lv.290~294,경타포스,사냥,-109.0286,0.0,True
Lv.295~299,강화,경타포스,92.8232,0.0,True
Lv.295~299,강화,사냥,54.3074,0.0,True
Lv.295~299,경타포스,사냥,-38.5158,0.0,True
Lv.300,강화,경타포스,-23.1169,0.7683,False
Lv.300,강화,사냥,30.2762,0.4511,False
Lv.300,경타포스,사냥,53.3932,0.2393,False
