segment,day_name,week_idx,avg_exp
Lv.285~289,금,1,1178227758822.3884
Lv.285~289,금,2,1101375249740.3845
Lv.285~289,금,3,1092577402661.5029
Lv.285~289,금,4,1230799891431.7795
Lv.285~289,금,5,1288753313098.256
Lv.285~289,금,6,1575711757723.6167
Lv.285~289,금,7,1728232458361.1443
Lv.285~289,금,8,1944313413239.1196
Lv.285~289,금,9,3123691716640.321
Lv.285~289,금,10,4817932015379.045
Lv.285~289,금,11,2021871200762.9219
Lv.285~289,금,12,2207181003004.8306
Lv.285~289,금,13,3456055719473.1665
Lv.285~289,금,14,2801949832020.3726
Lv.285~289,금,15,2692124537679.801
Lv.285~289,금,16,3008528702839.435
Lv.285~289,금,17,3699756356343.494
Lv.285~289,목,1,1413847825466.0415
Lv.285~289,목,2,1088781745402.6296
Lv.285~289,목,3,1416139121896.6953
Lv.285~289,목,4,1585369365117.036
Lv.285~289,목,5,1434634419140.0178
Lv.285~289,목,6,1527299815915.662
Lv.285~289,목,7,2531035608850.9717
Lv.285~289,목,8,2893732431220.018
Lv.285~289,목,9,3408395146952.034
Lv.285~289,목,10,0.0
Lv.285~289,목,11,2408983662689.082
Lv.285~289,목,12,2630718894747.319
Lv.285~289,목,13,3861334359741.519
Lv.285~289,목,14,3093271552551.3887
Lv.285~289,목,15,3142451391357.39
Lv.285~289,목,16,3205524173247.795
Lv.285~289,목,17,4100081082384.4277
Lv.285~289,수,1,1349435198918.0642
Lv.285~289,수,2,1375626542505.4917
Lv.285~289,수,3,1439145742859.0132
Lv.285~289,수,4,1472533963137.8022
Lv.285~289,수,5,1335820186286.2986
Lv.285~289,수,6,1567252560658.6025
Lv.285~289,수,7,1887948642471.6846
Lv.285~289,수,8,1893924664805.9663
Lv.285~289,수,9,1959517756656.594
Lv.285~289,수,10,3842641289726.676
Lv.285~289,수,11,2169863439540.6536
Lv.285~289,수,12,2095055601309.4937
Lv.285~289,수,13,2540432290196.683
Lv.285~289,수,14,4236861948656.5493
Lv.285~289,수,15,3221868670366.2046
Lv.285~289,수,16,2757915016621.021
Lv.285~289,수,17,3148104448418.6284
Lv.285~289,수,18,3566521905423.2046
Lv.285~289,월,1,1145495117526.481
Lv.285~289,월,2,1024506396362.6387
Lv.285~289,월,3,1120293458805.2405
Lv.285~289,월,4,1112898816240.5247
Lv.285~289,월,5,1307230285553.3223
Lv.285~289,월,6,1230484772091.9788
Lv.285~289,월,7,1536514550047.699
Lv.285~289,월,8,1501401847403.4512
Lv.285~289,월,9,1595543858057.9937
Lv.285~289,월,10,2683492207107.103
Lv.285~289,월,11,1623441666244.0383
Lv.285~289,월,12,1712945279276.9307
Lv.285~289,월,13,1915817998412.8816
Lv.285~289,월,14,2803376382548.899
Lv.285~289,월,15,2277503871272.3926
Lv.285~289,월,16,2341960150251.854
Lv.285~289,월,17,3043661536525.6064
Lv.285~289,월,18,3923075795717.7373
Lv.285~289,일,1,1588292861442.446
